W_PCT,FTM,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PTS
0.537,1.528571429,0.864285714,2.578571429,1.828571429,1.164285714,0.542857143,0.385714286,0.435714286,1.685714286,7.892857143
0.683,1.51875,0.73125,2.8,2,1.2,0.7125,0.41875,0.39375,1.8875,8.4375
0.415,1.26875,0.83125,2.34375,1.5125,1.04375,0.50625,0.475,0.4125,1.76875,6.66875
0.756,1.492857143,1.05,2.9,1.828571429,1.128571429,0.6,0.5,0.492857143,1.778571429,8.3
0.232,1.60625,1.06875,2.8125,1.7875,1.25,0.625,0.41875,0.5625,2.03125,8.50625
0.695,1.593333333,0.826666667,2.753333333,2,1.226666667,0.673333333,0.366666667,0.366666667,1.786666667,9.093333333
0.61,1.892857143,1.007142857,3.085714286,2.057142857,1.235714286,0.707142857,0.514285714,0.471428571,2.128571429,9.75
0.366,1.561538462,1.069230769,2.538461538,1.953846154,1.161538462,0.684615385,0.376923077,0.461538462,1.892307692,8.976923077
0.439,1.378571429,1.092857143,2.585714286,1.95,1.214285714,0.814285714,0.45,0.407142857,2.021428571,8.692857143
0.524,1.706666667,1.026666667,2.653333333,1.8,1.14,0.513333333,0.426666667,0.493333333,1.78,8.413333333
0.451,1.626666667,0.946666667,2.813333333,1.766666667,1.3,0.633333333,0.46,0.48,1.993333333,8.4
0.39,1.707142857,1.028571429,2.85,2.05,1.428571429,0.628571429,0.464285714,0.471428571,2,9.271428571
0.695,1.466666667,1.033333333,2.553333333,1.686666667,1.02,0.553333333,0.466666667,0.386666667,1.633333333,7.753333333
0.561,1.45625,0.9625,2.475,1.78125,1.1375,0.7875,0.45625,0.4875,1.7375,8.38125
0.707,1.60625,0.9,2.96875,1.54375,1.1125,0.54375,0.4,0.25625,1.875,8.025
0.427,1.573333333,0.953333333,2.753333333,1.693333333,1.12,0.693333333,0.446666667,0.446666667,1.853333333,8.433333333
0.207,1.564285714,1.1,2.7,1.842857143,1.528571429,0.6,0.428571429,0.464285714,1.964285714,8.95
0.293,1.3,0.829411765,2.205882353,1.8,1.011764706,0.523529412,0.352941176,0.382352941,1.741176471,7.347058824
0.561,1.446666667,0.96,2.48,1.54,1.02,0.593333333,0.393333333,0.4,1.846666667,7.453333333
0.512,1.706666667,0.88,2.46,1.626666667,1.166666667,0.633333333,0.433333333,0.42,1.86,8.273333333
0.671,1.686666667,0.926666667,2.673333333,1.533333333,1.126666667,0.593333333,0.493333333,0.366666667,1.993333333,7.773333333
0.634,1.725,1.05,3.083333333,2,1.433333333,0.666666667,0.45,0.383333333,2.008333333,9.766666667
0.5,1.326666667,0.806666667,2.56,1.74,0.946666667,0.573333333,0.333333333,0.36,1.646666667,7.666666667
0.488,1.485714286,0.821428571,2.414285714,1.985714286,1.128571429,0.55,0.364285714,0.371428571,1.814285714,8.585714286
0.585,1.53125,1.0875,2.41875,1.65,1.1,0.625,0.3875,0.38125,1.78125,7.7375
0.293,1.333333333,0.926666667,2.4,1.686666667,1.26,0.613333333,0.36,0.466666667,1.846666667,7.946666667
0.744,1.2875,0.74375,2.34375,1.65625,0.93125,0.5375,0.33125,0.325,1.49375,7.56875
0.268,1.488235294,1.094117647,2.635294118,1.758823529,1.211764706,0.623529412,0.388235294,0.470588235,2.017647059,7.894117647
0.476,1.54375,0.9375,2.33125,1.75,1.125,0.60625,0.50625,0.4,1.9125,7.66875
0.28,1.4,0.994117647,2.323529412,1.441176471,1.147058824,0.670588235,0.452941176,0.4,1.847058824,7.647058824
